,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,cycle_duration,quarter_close,account_sector,account_revenue,account_employees,office_location,size_category,manager,regional_office,series,sales_price
28,N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,109.0,Q1 2017,Technolgy,1100.04,2822,United States,Enterprise,Rocco Neubert,East,GTX,550
29,E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,111.0,Q1 2017,Services,692.19,1922,United States,Enterprise,Celia Rouche,West,GTX,550
30,AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,115.0,Q1 2017,Medical,439.21,792,United States,Mid-Market,Cara Losch,East,MG,3393
31,REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,121.0,Q1 2017,Marketing,3027.46,9516,Jordan,Enterprise,Cara Losch,East,GTX,1096
32,ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,116.0,Q1 2017,Medical,441.08,1210,United States,Mid-Market,Dustin Brinkmann,Central,MG,55
35,CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,126.0,Q1 2017,Marketing,375.43,1190,United States,Mid-Market,Melvin Marxen,Central,GTX,1096
36,30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,125.0,Q1 2017,Retail,894.33,1635,Italy,Enterprise,Melvin Marxen,Central,GTX,1096
37,97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,118.0,Q1 2017,Technolgy,1520.66,1806,United States,Enterprise,Melvin Marxen,Central,MG,3393
38,JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,135.0,Q1 2017,Finance,52.5,165,United States,SMB,Summer Sewald,West,GTX,550
41,XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,108.0,Q1 2017,Telecommunications,1699.85,5108,United States,Enterprise,Summer Sewald,West,GTX,5482
42,IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,120.0,Q1 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,GTX,1096
43,XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,116.0,Q1 2017,Employment,2059.9,3644,United States,Enterprise,Summer Sewald,West,GTX,1096
44,XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,108.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,GTX,550
45,2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,106.0,Q1 2017,Finance,1698.2,3798,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
46,HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,119.0,Q1 2017,Telecommunications,86.68,187,United States,SMB,Melvin Marxen,Central,MG,3393
47,WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,114.0,Q1 2017,Medical,2818.38,6290,United States,Enterprise,Rocco Neubert,East,GTX,5482
48,XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,109.0,Q1 2017,Entertainment,324.19,978,United States,Mid-Market,Celia Rouche,West,GTK,26768
49,3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,103.0,Q1 2017,Marketing,2952.73,5107,United States,Enterprise,Summer Sewald,West,GTX,1096
51,MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,104.0,Q1 2017,Technolgy,2938.67,8775,Panama,Enterprise,Dustin Brinkmann,Central,GTX,550
53,37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,109.0,Q1 2017,Marketing,2173.98,2928,United States,Enterprise,Melvin Marxen,Central,GTX,1096
54,25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,120.0,Q1 2017,Software,11698.03,34288,United States,Enterprise,Rocco Neubert,East,GTX,550
56,MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,114.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
58,7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,102.0,Q1 2017,Medical,326.82,1016,United States,Mid-Market,Cara Losch,East,MG,55
59,GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,129.0,Q1 2017,Entertainment,349.81,315,United States,SMB,Summer Sewald,West,GTX,550
60,ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,101.0,Q1 2017,Retail,332.43,799,United States,Mid-Market,Melvin Marxen,Central,GTX,550
62,AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,109.0,Q1 2017,Software,2714.9,2641,United States,Enterprise,Dustin Brinkmann,Central,MG,55
64,LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,100.0,Q1 2017,Employment,882.12,2769,United States,Enterprise,Cara Losch,East,GTX,5482
66,RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,114.0,Q1 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,MG,3393
68,BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,98.0,Q1 2017,Employment,2871.35,9561,United States,Enterprise,Celia Rouche,West,GTX,550
69,HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,121.0,Q1 2017,Employment,291.27,586,United States,SMB,Dustin Brinkmann,Central,MG,3393
70,L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,97.0,Q1 2017,Finance,2022.14,5113,United States,Enterprise,Rocco Neubert,East,MG,3393
73,V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,124.0,Q1 2017,Telecommunications,1825.82,5595,United States,Enterprise,Summer Sewald,West,GTX,1096
75,NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,98.0,Q1 2017,Software,4618.0,10083,United States,Enterprise,Dustin Brinkmann,Central,MG,55
76,FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,123.0,Q1 2017,Technolgy,7708.38,13756,United States,Enterprise,Celia Rouche,West,MG,3393
77,TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,96.0,Q1 2017,Telecommunications,5266.09,8595,United States,Enterprise,Dustin Brinkmann,Central,MG,55
78,PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,101.0,Q1 2017,Telecommunications,5266.09,8595,United States,Enterprise,Dustin Brinkmann,Central,MG,3393
79,J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,96.0,Q1 2017,Medical,251.41,495,United States,SMB,Cara Losch,East,GTX,5482
80,JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,122.0,Q1 2017,Entertainment,217.87,551,United States,SMB,Melvin Marxen,Central,MG,55
81,0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,101.0,Q1 2017,Technolgy,1712.68,3194,United States,Enterprise,Cara Losch,East,MG,55
83,051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,115.0,Q1 2017,Technolgy,1223.72,2497,Norway,Enterprise,Melvin Marxen,Central,GTX,1096
84,5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,106.0,Q1 2017,Retail,1419.98,4018,United States,Enterprise,Rocco Neubert,East,MG,55
85,V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,109.0,Q1 2017,Technolgy,7708.38,13756,United States,Enterprise,Cara Losch,East,GTX,550
86,UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,96.0,Q1 2017,Medical,4.54,9,United States,SMB,Summer Sewald,West,GTX,550
88,IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,119.0,Q1 2017,Technolgy,7708.38,13756,United States,Enterprise,Celia Rouche,West,GTX,550
89,2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,104.0,Q1 2017,Technolgy,587.72,1501,United States,Enterprise,Summer Sewald,West,GTX,5482
90,7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,114.0,Q1 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,5482
91,GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,98.0,Q1 2017,Retail,894.33,1635,Italy,Enterprise,Melvin Marxen,Central,GTX,1096
92,K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,118.0,Q1 2017,Software,6354.87,16780,United States,Enterprise,Summer Sewald,West,GTX,550
93,5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,111.0,Q1 2017,Services,792.46,1299,United States,Mid-Market,Summer Sewald,West,GTX,1096
94,ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,99.0,Q1 2017,Finance,1698.2,3798,United States,Enterprise,Dustin Brinkmann,Central,MG,55
95,KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,98.0,Q1 2017,Marketing,45.39,100,United States,SMB,Melvin Marxen,Central,MG,55
97,FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,103.0,Q1 2017,Finance,2819.5,7227,United States,Enterprise,Dustin Brinkmann,Central,GTX,1096
98,N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,101.0,Q1 2017,Retail,1419.98,4018,United States,Enterprise,Cara Losch,East,MG,3393
99,2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,105.0,Q1 2017,Software,4478.47,13809,United States,Enterprise,Rocco Neubert,East,MG,3393
100,7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,114.0,Q1 2017,Retail,2520.83,3502,United States,Enterprise,Cara Losch,East,GTX,550
102,7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,111.0,Q1 2017,Telecommunications,6395.05,20275,United States,Enterprise,Rocco Neubert,East,MG,3393
103,J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,115.0,Q1 2017,Retail,2520.83,3502,United States,Enterprise,Cara Losch,East,GTX,550
104,41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,117.0,Q1 2017,Technolgy,7708.38,13756,United States,Enterprise,Cara Losch,East,GTX,550
106,VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,115.0,Q1 2017,Retail,718.62,2448,United States,Enterprise,Melvin Marxen,Central,GTX,550
107,PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,94.0,Q1 2017,Employment,2871.35,9561,United States,Enterprise,Celia Rouche,West,MG,55
108,0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,91.0,Q1 2017,Finance,52.5,165,United States,SMB,Celia Rouche,West,GTX,1096
109,O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,92.0,Q1 2017,Telecommunications,1699.85,5108,United States,Enterprise,Celia Rouche,West,GTX,1096
110,0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,92.0,Q1 2017,Services,405.59,1179,Brazil,Mid-Market,Celia Rouche,West,MG,55
111,MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,108.0,Q1 2017,Entertainment,4269.9,6472,United States,Enterprise,Summer Sewald,West,GTX,550
112,LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,94.0,Q1 2017,Telecommunications,5266.09,8595,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
113,6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0,102.0,Q1 2017,Finance,2819.5,7227,United States,Enterprise,Dustin Brinkmann,Central,MG,55
114,3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0,115.0,Q1 2017,Entertainment,349.81,315,United States,SMB,Celia Rouche,West,MG,55
116,BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,110.0,Q1 2017,Technolgy,1223.72,2497,Norway,Enterprise,Melvin Marxen,Central,GTX,550
118,MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0,89.0,Q1 2017,Technolgy,1712.68,3194,United States,Enterprise,Rocco Neubert,East,GTX,1096
120,DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0,106.0,Q1 2017,Telecommunications,6395.05,20275,United States,Enterprise,Cara Losch,East,GTX,550
121,45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,98.0,Q1 2017,Medical,3922.42,6837,United States,Enterprise,Melvin Marxen,Central,GTX,5482
122,9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0,95.0,Q1 2017,Retail,718.62,2448,United States,Enterprise,Melvin Marxen,Central,MG,55
123,7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0,96.0,Q1 2017,Finance,7537.24,20293,United States,Enterprise,Summer Sewald,West,GTX,550
124,XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0,102.0,Q1 2017,Technolgy,2938.67,8775,Panama,Enterprise,Melvin Marxen,Central,GTX,5482
125,S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0,94.0,Q1 2017,Retail,2214.94,5374,United States,Enterprise,Summer Sewald,West,GTX,1096
126,6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,99.0,Q1 2017,Technolgy,1712.68,3194,United States,Enterprise,Rocco Neubert,East,MG,3393
127,G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,115.0,Q1 2017,Employment,882.12,2769,United States,Enterprise,Rocco Neubert,East,GTX,5482
128,6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0,108.0,Q1 2017,Retail,2261.05,3851,United States,Enterprise,Rocco Neubert,East,MG,3393
129,OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,106.0,Q1 2017,Medical,1618.89,3889,United States,Enterprise,Summer Sewald,West,GTX,1096
130,4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0,96.0,Q1 2017,Software,2714.9,2641,United States,Enterprise,Dustin Brinkmann,Central,GTX,550
131,EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0,100.0,Q1 2017,Entertainment,349.81,315,United States,SMB,Celia Rouche,West,MG,55
132,82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0,93.0,Q1 2017,Medical,2741.37,9226,United States,Enterprise,Summer Sewald,West,GTX,1096
133,14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,90.0,Q1 2017,Retail,2520.83,3502,United States,Enterprise,Rocco Neubert,East,GTX,1096
135,E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0,95.0,Q1 2017,Marketing,2173.98,2928,United States,Enterprise,Melvin Marxen,Central,MG,55
136,787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0,86.0,Q1 2017,Retail,1388.67,3583,United States,Enterprise,Celia Rouche,West,MG,3393
137,0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0,94.0,Q1 2017,Technolgy,2938.67,8775,Panama,Enterprise,Melvin Marxen,Central,MG,55
138,FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0,103.0,Q1 2017,Employment,2059.9,3644,United States,Enterprise,Summer Sewald,West,GTX,550
139,TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0,83.0,Q1 2017,Medical,3178.24,4540,United States,Enterprise,Dustin Brinkmann,Central,GTX,5482
140,BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0,93.0,Q1 2017,Retail,2214.94,5374,United States,Enterprise,Summer Sewald,West,MG,3393
141,DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0,92.0,Q1 2017,Entertainment,324.19,978,United States,Mid-Market,Celia Rouche,West,GTX,5482
142,A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0,110.0,Q1 2017,Retail,71.12,144,United States,SMB,Rocco Neubert,East,GTX,1096
143,E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0,108.0,Q1 2017,Software,6354.87,16780,United States,Enterprise,Celia Rouche,West,MG,55
145,V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,95.0,Q1 2017,Software,987.39,2253,United States,Enterprise,Rocco Neubert,East,GTX,550
146,GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,95.0,Q1 2017,Marketing,3027.46,9516,Jordan,Enterprise,Cara Losch,East,GTX,1096
147,0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,109.0,Q1 2017,Employment,882.12,2769,United States,Enterprise,Rocco Neubert,East,MG,3393
148,HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0,85.0,Q1 2017,Technolgy,587.72,1501,United States,Enterprise,Summer Sewald,West,GTX,5482
149,Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0,96.0,Q1 2017,Software,98.79,96,United States,SMB,Celia Rouche,West,MG,55
150,R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0,95.0,Q1 2017,Medical,2818.38,6290,United States,Enterprise,Cara Losch,East,MG,3393
151,40DPY158,Markita Hansen,MG Special,Hottechi,Won,2016-12-10,2017-03-25,47.0,105.0,Q1 2017,Technolgy,8170.38,16499,Korea,Enterprise,Celia Rouche,West,MG,55
152,DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007.0,104.0,Q1 2017,Retail,4968.91,7523,United States,Enterprise,Summer Sewald,West,GTX,1096
153,DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,2016-12-10,2017-03-24,48.0,104.0,Q1 2017,Marketing,2403.58,8801,United States,Enterprise,Melvin Marxen,Central,MG,55
154,CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,2016-12-10,2017-03-07,49.0,87.0,Q1 2017,Telecommunications,5266.09,8595,United States,Enterprise,Dustin Brinkmann,Central,MG,55
155,OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,504.0,98.0,Q1 2017,Marketing,3027.46,9516,Jordan,Enterprise,Cara Losch,East,GTX,550
156,5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,2016-12-11,2017-03-21,543.0,100.0,Q1 2017,Finance,1102.43,1759,United States,Enterprise,Melvin Marxen,Central,GTX,550
159,PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043.0,90.0,Q1 2017,Retail,497.11,1588,United States,Enterprise,Celia Rouche,West,GTX,1096
161,RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,2016-12-12,2017-03-29,437.0,107.0,Q1 2017,Medical,4.54,9,United States,SMB,Summer Sewald,West,GTX,550
162,LC85AQ1I,Vicki Laflamme,GTX Basic,Konex,Won,2016-12-12,2017-03-18,443.0,96.0,Q1 2017,Technolgy,7708.38,13756,United States,Enterprise,Celia Rouche,West,GTX,550
164,EJMX0EIJ,Darcel Schlecht,GTX Plus Pro,Betatech,Won,2016-12-13,2017-03-20,4278.0,97.0,Q1 2017,Medical,647.18,1185,Kenya,Mid-Market,Melvin Marxen,Central,GTX,5482
165,VR9NYBOV,Garret Kinder,MG Special,Kinnamplus,Won,2016-12-13,2017-03-06,41.0,83.0,Q1 2017,Retail,702.72,1831,United States,Enterprise,Cara Losch,East,MG,55
